source	target
10007464	7464
10037430	37430
10295672	7464
10377644	37430
10404032	121403
10427994	7464
10466037	321078
10495485	37430
10517789	517789
10522236	37430
10522238	37430
10585993	321078
10603707	321078
10605006	321078
10650908	321078
10650909	321078
10713940	713940
10752155	321078
10973693	321078
11031843	37430
11068631	321078
11133676	321078
11147189	1147189
11149860	7464
11196169	7464
11328543	517789
11398762	321078
11401988	7464
11407304	7464
11523810	7464
11535214	321078
11602843	321078
11708239	1708239
11718358	7464
11749503	7464
11755497	321078
11758079	7464
11758082	91113
11765882	321078
11766309	321078
11775719	121403
11913398	1913398
11964623	1964623
12029425	321078
12169868	1744795
12169869	2169869
12172002	37430
12251302	2251302
12251303	2251303
12393876	2393876
12663695	2393876
12668010	2534610
12679614	253556
12694502	7464
12733593	321078
12744388	1744795
12765380	91113
12846748	7464
12847195	7464
12854545	7464
12958588	7464
12959872	321078
12999471	321078
13096433	7464
13130887	321078
13130999	91113
13135959	296436
13135960	1510391
13147341	7464
13156471	1510391
13162070	321078
13202046	3089782
13213796	91113
13224071	3089782
13267725	1510391
13268879	3268879
13270266	7464
13299611	3299611
13315116	321078
13336581	7464
13339546	37430
13376651	3376651
13393754	321078
13433691	7464
13471750	91113
13517360	3517360
13522444	3522444
13523958	3523958
13531615	91113
13551332	7464
13580435	517789
13604940	3522444
13680243	91113
13689528	321078
13703967	3703967
13711773	517789
13716819	321078
13727129	321078
13730674	321078
13737396	321078
13745442	321078
13782009	7464
13792952	7464
13796572	7464
13862916	7464
13864578	3686919
13867339	1744795
13867789	7464
13875973	2534610
13894578	121403
13904602	7464
13909477	7464
13923014	7464
13927836	321078
13949824	7464
13996305	1708239
14003449	2534610
14003458	7464
14031552	1510391
14057636	321078
14058044	2393876
14175879	7464
14185330	4185330
14216066	1510391
14233375	3089782
14252351	3686919
14266691	1510391
14312216	3686919
14344967	3299611
14354287	7464
14362442	321078
14367461	321078
14390662	321078
14395331	37430
14437751	7464
14446086	7464
14479364	321078
14536146	91113
14546583	321078
14571232	321078
14656711	3089782
14698327	7464
14703188	3686919
14725861	3299611
14749826	132928
14771538	517789
14797836	321078
14820325	7464
14821606	7464
14856664	121403
14969149	4969149
14971128	321078
15001203	91113
15006806	7464
15007928	321078
15009481	7464
15054688	7464
15156393	5156393
15156398	5156398
15208222	1510391
15247140	91113
15265542	91113
15288631	2534610
15289250	91113
15289777	517789
15290876	5290876
15291298	321078
15292826	3522444
15320833	2393876
15408731	517789
15410236	321078
15447207	2393876
15447214	2393876
15498570	37430
15595840	1744795
15615866	7464
15624229	7464
15636416	1510391
15650694	321078
15673530	321078
15680355	3522444
15683259	37430
15691006	2534610
15703345	7464
15743139	7464
15749376	5749376
15752603	321078
15777998	7464
15944696	7464
16168189	321078
16321254	517789
16326017	321078
16327598	6327598
16415063	7464
16422307	517789
16577159	91113
16577165	6577165
16577605	6577605
16678876	321078
16748387	321078
16794718	3686919
16801823	2169869
16810332	1744795
16814774	7464
16825028	138431
16832758	7464
16864772	2251303
16899515	91113
16929931	7464
16965333	1510391
17111294	3089782
17112160	7112160
17144034	7144034
17159037	4152398
17168249	1744795
17168261	3686919
17168714	7168714
17174918	2169869
17175343	7175343
17204391	220969
17216137	7464
17233472	7233472
17236532	7464
17246820	7464
17248008	321078
17249383	1510391
17250722	517789
17288678	7464
17365010	91113
17408838	1510391
17421357	321078
17436022	7464
17444306	91113
17490568	7464
17490960	7464
17496830	91113
17528382	2169869
17531055	517789
17553613	321078
17561334	37430
17570007	321078
17583750	7464
17588923	1510391
17589238	2534610
17603022	253556
17607223	321078
17610050	37430
17624889	321078
17711039	321078
17882485	7882485
17883408	37430
17923164	7464
18035620	321078
18093183	2534610
19044533	321078
19044535	321078
20007464	10007464
20014611	10014611
20037430	10037430
20216428	10216428
20295672	10295672
20302976	10302976
20377644	10377644
20403216	10403216
20404032	10404032
20427994	10427994
20466037	10466037
20466037	10603707
20466037	11068631
20466037	12029425
20495485	10495485
20517789	10517789
20522236	10522236
20522238	10522238
20581296	16825028
20585993	10585993
20605006	10605006
20650908	10650908
20650908	10650909
20661914	10661914
20696602	10696602
20713940	10713940
20752155	10752155
20954065	10954065
20973693	10973693
21031843	11031843
21068989	11068989
21133676	11133676
21147189	11147189
21149860	11149860
21196169	11196169
21328543	11328543
21398762	11398762
21401988	11401988
21407304	11407304
21523810	11523810
21535214	11535214
21602843	11602843
21602843	16326017
21708239	11708239
21718358	11718358
21749503	11749503
21758079	11758079
21758082	11758082
21763289	11763289
21765882	11765882
21766306	11766306
21766308	11766308
21766309	11766309
21775719	11775719
21913398	11913398
21924193	11924193
21964623	11964623
21985309	11985309
22169868	12169868
22169868	12169869
22172002	12172002
22251302	12251302
22251303	12251303
22251303	16864772
22251303	17112160
22393876	12393876
22595277	12595277
22621057	12621057
22621057	17175343
22653156	12653156
22663695	12663695
22668010	12668010
22679614	12679614
22694502	12694502
22733593	12733593
22744388	12744388
22744388	14252351
22765380	12765380
22846748	12846748
22847195	12847195
22854545	12854545
22869963	12869963
22870497	12870497
22958588	12958588
22959872	12959872
22999471	12999471
23005485	13005485
23089782	14656711
23089782	17111294
23096433	13096433
23130887	13130887
23130999	13130999
23135959	13135959
23147341	13147341
23156471	13156471
23162070	13162070
23202046	13202046
23213796	13213796
23224071	13224071
23267725	13267725
23268879	13268879
23270266	13270266
23299611	13299611
23315116	13315116
23336581	13336581
23339546	13339546
23376651	13376651
23378180	13378180
23393754	13393754
23433691	13433691
23471750	13471750
23517360	13517360
23522444	13522444
23551332	13551332
23580435	13580435
23604940	13604940
23659037	13659037
23689528	13689528
23703967	13703967
23711773	13711773
23716819	13716819
23719798	13719798
23727129	13727129
23727129	13730674
23727129	15007928
23737396	13737396
23737396	14971128
23745442	13745442
23782009	13782009
23792952	13792952
23796572	13796572
23862916	13862916
23864578	13864578
23867339	13867339
23867789	13867789
23875973	13875973
23894578	13894578
23904602	13904602
23909477	13909477
23911829	13911829
23914314	13914314
23923014	13923014
23927836	13927836
23949824	13949824
23996305	13996305
24003449	14003449
24003458	14003458
24031552	14031552
24057636	14057636
24058044	14058044
24175879	14175879
24185330	14185330
24216066	14216066
24233375	14233375
24266691	14266691
24312216	14312216
24344967	14344967
24354287	14354287
24362442	14362442
24362442	14367461
24362442	14390662
24395331	14395331
24400180	14400180
24437751	14437751
24446086	14446086
24479364	14479364
24536146	14536146
24546583	14546583
24571232	14571232
24698327	14698327
24703188	14703188
24717788	14717788
24725861	14725861
24771538	14771538
24797836	14797836
24812271	14812271
24820325	14820325
24821606	14821606
24856664	14856664
24892254	14892254
24969149	14969149
25001203	15001203
25006806	15006806
25009481	15009481
25054688	15054688
25054688	17490960
25156393	15156393
25156398	15156398
25208222	15208222
25218303	15218303
25239833	15239833
25247140	15247140
25265542	15265542
25288631	15288631
25289250	15289250
25289250	17496830
25289777	15289777
25290876	15290876
25291298	15291298
25291298	15650694
25292826	15292826
25320833	15320833
25408731	15408731
25408731	17250722
25410236	15410236
25447207	15447207
25447214	15447214
25498570	15498570
25595840	15595840
25624229	15624229
25636416	15636416
25673530	15673530
25680355	15680355
25691006	15691006
25703345	15703345
25743139	15743139
25749376	15749376
25752603	15752603
25761653	15761653
25777998	15777998
25944696	15944696
26168189	16168189
26321254	16321254
26327598	16327598
26415063	16415063
26422307	16422307
26577159	16577159
26577159	16899515
26577165	16577165
26577605	16577605
26678876	16678876
26748387	16748387
