id	name	type
30169566	Johannes Althusius	Person
15491718	Praecognitorum jurisprudentiae tractatus sex : in quibus natura, principia & studium juris-prudentiae certis definitionibus, divisionibus, regulis & commentarijs succinctè & methodicè traduntur & explicantur	Edition
4751911	Herbonrae Nassoviorum	Place
8236007	Prostant Frankfurt	Place
25491718	Apud haeredes Christophori Corvini	Publisher
14751911	Ad confutationem D. Danielis Hofmanni in Academia Helmstadiana Theologi, quam is convitiis refertam antithesibus contra disputationes suas ante triennium editis, nuper opposuit : modesta et solida reponsio	Edition
35491718	Johann Kleinschmidt	Person
24751911	Ex officina Christophori Corvini	Publisher
18236007	Johan. Althusii Jc., dicaeologicae libri tres : totum & universum jus, quo utimur, methodicè complectentes : cum parallelis hujus & Judaici Juris tabulisque insertis atque indice triplici, uno, auctorum, altero, capitum singulorum & tertio, rerum & verborum locupletissimo & accuratissimo : opus tam theoriae quàm praxeos aliarumque facultatum studiosis utilissimum›Dicaelogicae libri tres	Edition
34751911	Ubbius Emmo Frisius	Person
440154	Herbornae	Place
28236007	Apud Christophorum Corvinum	Publisher
10440154	Institutionum imperialium succincta erotemata : nouis clariss. quorundam I.C. definitionibus ac diuisionibus exquisitè illustrata : ac regulis iuris ciuilis, quatenus ad certos titulos eae referri potuére, de nouo ita elucidata vt etiam non tyroni breuium exegematum vice esse queant›Institvtionvm imperialivm svccincta erotemata	Edition
20440154	Typis Christophori Coruini	Publisher
15301410	Iurisprudentiae Romanae methodice digestae libri duo›Johannis Althusii U.J.D. Iurisprudentiae Romanae methodice digestae libri duo›Johannis Althusii U.J.D. Ivrisprvdentiae Romanae methodice digestae libri duo›Ivrisprvdentiae Romanae methodice digestae libri duo›Jurisprudentiae Romanae methodice digestae libri duo	Edition
