source	target
10006531	530
10006597	216
10006608	6608
10006659	3
10006672	530
10006714	530
10006718	6718
10006719	530
10006732	6591
10006749	6749
10006757	6613
10006769	13
10006778	6778
10006889	6527
10006890	6527
10006897	6527
10006900	6900
10006909	6909
10006996	6996
10007098	28
10007191	530
10007245	530
10007347	7347
10007352	6527
10007357	286
10007395	3
10007420	7420
10007438	3
10007440	286
10007445	6778
10007455	7455
10007456	7456
10007464	7464
10007465	6556
10007470	7470
10007475	530
10007534	6613
10007535	3
10007655	530
10007669	3
10007754	7754
10007790	6778
10007814	7814
10007875	530
10007890	7890
10007934	530
10007945	530
10007980	530
10008001	530
10008003	530
10008004	530
10008005	530
10008016	8016
10008052	530
10008147	530
10008162	8162
10008195	8195
10008276	13
10008297	6613
10008301	6613
10008302	7545
10008317	8317
10008369	8369
10008438	286
10008450	6921
10008489	3
10008492	6921
10008501	6556
10008502	6527
10008503	7545
10008504	6527
10008520	8520
10008529	530
10008542	8542
10008568	6527
10008569	6527
10008570	6527
10008571	6527
10008572	7545
10008573	6527
10008574	6527
10008575	7545
10008576	8576
10008577	6527
10008578	7545
10008579	6527
10008580	6527
10008589	6527
10008690	8690
10008691	6921
10008712	8712
10008719	6533
10008765	5889
10008776	6527
10008778	6571
10008833	129
10008970	54
10008984	530
10008999	6783
10009014	454
10009042	6778
10012849	13
10012856	530
10012858	9390
10012931	530
10012949	530
10012969	6613
10012985	6613
10013005	530
10013090	6613
10013099	530
10013211	530
10013214	530
10013292	13292
10013301	9787
10013321	13321
10013322	13322
10013340	6542
10013341	530
10013347	3
10013355	6613
10013373	530
10013395	530
10013406	3
10013418	530
10013435	6533
10013459	13459
10013461	6687
10013540	530
10013542	530
10013543	530
10013544	9003
10013636	13636
10013646	13646
10013738	6613
10013795	530
10013805	49
10013815	6613
10013817	9390
10013819	6571
10013832	3
10013845	13845
10013847	530
10013879	13879
10013925	13925
10013991	13991
10014012	6783
10014025	14025
10014046	6718
10014047	13646
10014058	14058
10014088	530
10014090	13845
10014092	14092
10014127	13
10014162	530
10014229	530
10014238	14238
10014270	14270
10014284	530
10014285	6718
10014310	6571
10014328	14216
10014338	530
10014344	6613
10014351	6571
10014352	6571
10014355	14355
10014356	530
10014372	6778
10014399	14399
10014401	48
10014406	530
