id	name	type
22283329	Na Officina de A. Pedrozo Galraõ	Publisher
17565063	Responsorum et informationum quae vulgo consilia juris appellantur centuriae duae›Dn. Francisci Pfeils, j.c. ... Responsorum et informationum quae vulgò consilia juris appellantur centuriae duae : quibus gravissimae juris utriusqve controversiae et quaestiones ex omnibus juris partibus ... non modo in scabinatibus sed & aulis qvotidiè occurrentes dexterrimo judicio per rationes dubitandi & decidendi proponuntur, simulq́ve multarum provinciarum & civitatum Superioris ac Inferioris Saxoniae statuta & consvetudines fideliter & eleganter explicantur	Edition
15992514	Bibliotheca Sarraziana, distrahenda per Abr. de Hondt et H. Scheurleer, bibliop., ad diem 16. Septb. 1715 s.n., in aula magna (vulgo) de groote zaal van t' hof, hora nona matutina & pomeridiana secunda	Edition
21759805	Apud Joh. Arnold. Langerak	Publisher
21759806	Ches Joh. Arn. Langerak	Publisher
30015902	Gerard Meerman	Person
33033904	Peter Elias Schröter	Person
7606305	Morguntiae	Place
24908267	Excudebat Guolphgangus Kezelius	Publisher
24909425	Typis Guolphgangi Kezelii	Publisher
22550314	Impressum per J. Köbel	Publisher
17046570	De rescriptis moratoriis seu induciis quinquennalibus, &c., vulgo quinquennell Anstandsbrieffen, etc. : in conclusiones methodice digesta analecta utcunque politico-juridica	Edition
22502361	Na Officina de J. A. da Sylva, impressor da Academia real	Publisher
13642311	Thesaurus juris locupletissimus›Arnoldi de Reyger, jcti., sereniss. Elect. Brandenburgici consiliarii ... Thesaurus juris locupletissimus : qui instar instructissimae bibliothecae esse poterit, cum in eo non solum variae juris tam publici quam privati materiae in praxi & foro usitatissimae, ex probatis auctoribus allegatae, sed etiam maximam partem decisae sint : ... ordine alphabetico digesti sic ... & additionibus Danielis Venediger ... elaboratus & locupletatus ac in tomos duos digestus	Edition
20459034	Chez B. & A. Elsevier, imprimeurs	Publisher
17052898	Adversaria in plerasque Dn. Andreae Gaillii, jurisconsulti, practicabiles observationes, etc›Gothofredi Antonii, Freundebergici, jc. et Academiae quondam Gissanae cancellarii, Adversaria in plerasque Dn. Andreae Gaillii, jcti., practicab. observat., &c.	Edition
15902	Hagae-Comitum	Place
11813000	Nummophylacium reginae Christinae, quod comprehendit numismata aerea imperatorum romanorum, latina, graeca, atque in coloniis cusa, quondam a Petro Santes Bartolo, summo artificio summaque fide incisa tabulis aeneis LXIII. Nunc primum prodeunt cum commentario Tigeberti Havercampi	Edition
21774878	Chez Jean Moreau ...	Publisher
21774880	Apud Adrianum Moetjens ...	Publisher
32001410	Hermann Kirchner	Person
14438197	De jure belli ac pacis libri tres›Le droit de la guerre et de la paix	Edition
2379830	Marpurgi Cattorum	Place
6906663	Giessae Cattorum	Place
14964532	Conspectus originum typographicarum›Plan du traité des origines typographiques	Edition
15489245	Commentarij ad IV Institutionum Diui Iustiniani Imperatoris libros, insigni et maxima, non modo Iustinianeae, sed et veterioris ac purioris iurisprudentiae doctrinâ refertissimi & post aliorum commentarios enucleatissimi Dn. Aegidij Hortensij ... cui additus De materia possessionis : ad tit. De acquir. vel amittend. possess. commentarius synopticus ... Dn. Petri Frideri Mindani	Edition
18111375	Historia insulana das ilhas a Portugal sugeytas no oceano occidental	Edition
25189404	Apud Paulum Egenolphum	Publisher
15756056	De brachio regio tractatus, seu De libera, ampla, et absoluta potestate iudicis supremi in causis criminalibus, & praecipuè de modo procedendi per processum informatiuum, ac de balia iudicandi : opus nouum, ac perutile, necessarium, & practicabile	Edition
11758953	De compositione medicamentorum tractatus›Hieronymi Mercurialis foroliviensis, medici hac tempostate clarissimi, De compositione medicamentorum tractatus, tres libros complectens ... : ejusdem De oculorum, et aurium affectibus praelectiones seorsim editae, omnia primùm a Michaele Colombo ... in lucem edîta, nunc vero a mendu quam plurimus, quibus passim scatebant, vindicata, subiecto rerum & verborum indice	Edition
31855418	Jean Léger	Person
31387547	Rob Pitt	Person
31751254	Luigi Francesco Castellani	Person
23625856	Typis Freibergianis	Publisher
27558560	Typis & sumptibus Ambrosij Kirchneri, bibliop. ...	Publisher
31550519	M, Du Verney	Person
22113652	Apud Nicolaum Erbenium	Publisher
12621052	Historische und theologische einleitung in die vornehmsten religious-streitigkeiten	Edition
31757643	Francis Glisson	Person
27565063	Sumptibus Johannis Lüderwaldii, bibliop. Magdeb.	Publisher
25992514	Apud Abrah. de Hondt	Publisher
27968856	Apud Gulielmum Cauellat ...	Publisher
13672923	Antiquitates sacrae & civiles Romanorum explicatae, sive, Commentarii historici, mythologici, philologici in varia monumenta prisca & maxime in plures statuas, aras, tumulos, inscriptiones, &c. : opus tabulis aeneis ornatum ex celeberrimorum antiquariorum libris collectis	Edition
25609654	Typis Ioannis à Waesberge	Publisher
11759806	Traité de l'organe de l'ouie : contenant la structure, les usages & les maladies de toutes les parties de l'oreille	Edition
17606305	Petrus Iordan lectori S. D. en tibi nunc iterum candide lector, Coelestium rerum disciplinae, atque totius sphaericae peritissimi, Iohannis Stoeflerini Iustingensis, uiri Germani : uariorum astrolabiorum compositionen seu fabricam, necnon eorundem usuum ac uariarum utilitatum explanationem, ex postrema autoris recognitione summa diligentia, ac pari fide, typis nostris cudenda praesumpsimus, & in aliquot locis praecipuè cum propositionibus, tum earum expositionibus, in meliorem formam quàm antea fuerant, redigenda, atque imprimenda curauimus uale›Coelestium rerum disciplinae	Edition
34909425	Krzysztof Warszewicki	Person
