id	name	type
2	Firenze	Place
21758076	Nella Stamp. di S.A.R. Per Gio. Gaetano Tartini ...	Publisher
22807848	Appresso G. Nourse	Publisher
14420264	Il riposo di Raffaello Borghini, in cvi della pittvra, e della scultura si fauella, de'piu illustri pittori, e scultori, et delle piu famose opere loro si fa mentione; e le cose principali appartenenti à dette arti s'insegnano	Edition
5246329	Ristampato in Firenze	Place
13897308	Tratado de los mysterios y estaciones de la Tierra Sancta›Viaggio di Terra Santa con sue stationi et misterii	Edition
19224558	L'inverno, o sia, La pianella persa : farsa in prosa con musica alla francese che si rappresenta dalla Compagnia accademica toscana di PietroAndolfati addetta al regio Teatro degli Infuocati di Firenze : sotto l'augusta protezione di Sua Maestà Apostolica Pietro Leopoldo re d'Ungheria e di Boemia arciduca d'Austria gran-duca di Toscana ec. ec. ec	Edition
31327042	None	Person
20579157	A. G. Pagani	Publisher
17568887	Congetture di un socio etrusco sopra una carta papiracea dell' archivio diplomatico di sua altezza reale il serenissimo Pietro Leopoldo arciduca d' Austria, granduca di Toscana &c. &c. &c. : con la prefazione dell' editore	Edition
28055390	Nella Stamperia dei Giunti	Publisher
37492602	Ferdinando Giorgi	Person
23861503	Appresso Luca Bonetti	Publisher
27915700	Appresso Matteo Florimi in Banchi	Publisher
15249188	Nuova legge generale per la proibizione del taglio negli Appennini del Commissariato, e Capitanato della Montagna di Pistoja, ed altro : pubblicata l'anno 1726›Adì 7. maggio 1726	Edition
33861503	Siena (City-state)	Person
22922714	B. Giunti	Publisher
7814	In Firenze	Place
7890	Florentiæ	Place
33999926	Siena (Tuscany)	Person
22553882	Per Filippo Givnti	Publisher
22291767	G. Tofani stampatore, L. Carlieri librajo	Publisher
31546381	None	Person
33826917	Francesco Cattani da Diacceto	Person
13117687	Libro della gverra de Ghotti	Edition
19269350	Tito Manlio : drama per musica rappresentato nella villa di Pratolino	Edition
33303474	da Montemagno, Buonaccorso	Person
12594381	Le bellezze della città di Firenze, dove a pieno di pittvra, di scvltvra, di sacri templi, di palazzi, i più notabili artifizj, e più preziosi si contengono	Edition
26431918	Nella stamperia de' Landini	Publisher
19269530	L'ipocondriaco : drama per musica : rappresentato nella villa di Pratolino	Edition
16429670	Bando contro a banditi, rebelli, assassini, et homicidiarii : publicato nella città di Fiorenza sotto dì 29 di maggio 1576	Edition
12759657	Prose fiorentine raccolte dallo Smarrito pseud. accademico della Crusca. Parte prima contenente orazioni. Volume primo	Edition
11546381	Confronto istorico dei nuovi con gli antichi regolamenti, rapporto alla polizia della Chiesa nello stato per trattenimento dei parochi de campagna	Edition
10498038	La historia d'Italia	Edition
10498039	The history of Italy	Edition
17576215	Tariffa delle gabelle per Firenze›Tariffe Toscane del 1781	Edition
17576222	Historia diuina, de l'vno, e l'altro mondo›Historia divina, de l'uno, e l'altro mondo	Edition
10498338	Historia d'Italia›Histoire des guerres d'Italie	Edition
13644253	De satyrica Graecorum poesi & Romanorum satira libri duo›Di Isacco Casaubono della satirica poesia de' Greci e della satira de' Romani libri due›Della satirica poesia de' Greci e della satira de' Romani libri due	Edition
20722314	Stamperia di B. Sermartelli	Publisher
31732455	Il novellino	Person
