id	type	name	start	end	dateType	nationality
100009949	Personal	Oliveira, Gastão de	0	0	lived	00
1000152636166720052541	Personal	Borkamp, Frauke	0	0	lived	ZZ
100018640	Personal	Polyakov, S.V	0	0	lived	00
100028892	Personal	Torcato, Ana, pseud.	1964	0	lived	PT
100038848	Personal	Alvarez Miranda, Vicente	0	0	lived	00
100048782	Personal	Pereira, Francisco Miranda	0	0	lived	00
100058670	Personal	Alegre, Alexandra	2000	0	flourished	Portugal
100068261	Personal	Neves, Luís Teixeira, ca 18- -	0	0	lived	00
100077982	Personal	Barão, Alexandre Humberto dos Santos	0	0	lived	PT
100087898	Personal	Serra, Gabriel	0	0	lived	PT
100097621	Personal	Veiga, Maria Leonor Amaral Correia da	0	0	lived	00
10010733	Personal	Cerilli, Dante, 1965-....	1965	0	lived	IT
1001146997246718890933	Corporate	中華歐亞基金會	0	0	lived	00
100115693	Personal	Machado, Maria de Lourdes, 1954-	1954	0	lived	PT
100125649	Personal	Moyer, Ellen	0	0	lived	00
100135436	Personal	Melo, Américo Gomes Dias de	0	0	lived	00
100144647639509806283	Personal	Thompson, Vetta L. Sanders	1900	0	flourished	US
100145066482366591773	Personal	Dziedzic, Witold (górnictwo)	0	0	lived	00
100145856859722920263	Personal	Catedra, Pedro M.	0	0	lived	00
100146163	Personal	Luz, Tomás da, 1633-1713, O.M.C.	1633	1713	lived	PT
100146937872713832858	Corporate	Edm. Goetschel's Buch- & Musikalienhandlung (Riga)", "Edm. Goetschel's Buch- & Musikalienhandlung", 'Riga	0	0	lived	ZZ
100147543667053191524	Corporate	Klein Modellbahn (Firma)	0	0	lived	AT
100148389460310712241	Personal	Curchin, Katherine	0	0	lived	00
100149066343465600238	Personal	Laastad, Eirik	0	0	lived	00
100149294120280520990	Corporate	International Symposium "Early harvested forage in milk and meat production"	0	0	lived	00
100149842001602841663	UniformTitleWork	Estetická knihovna	0	0	lived	00
100150746898316301294	Personal	Stein, Philip, 1989-	1989	0	lived	NL
100151352026052601097	Personal	Klimenko, Êvgenìj Volodimirovič.	0	0	lived	00
100152138629510982418	Personal	진성희 (陳性希) 1979-	1979	0	lived	KR
100152742902527731340	Personal	Copyist S-Dl-009	0	0	lived	00
100153552	Personal	Moreira, Pedro	0	0	lived	00
100154381065630292750	Personal	Petrauskas, Vaclovas 1935-	1935	0	lived	LT
100155042727672400679	Personal	Charles, Léon	0	0	lived	00
100157012	Personal	Eriksson, Leif, 1959-	1959	0	lived	SE
100175468	Personal	Barbiera, Raffaello, 1851-1934	1851-02-02	1934-01-05	lived	None
10019671	Personal	Kunz, George, 1934-....	1934-07-03	0	lived	US
1002145857096822922276	Personal	Kirchhoffer, Friedrich Julius	0	0	lived	ZZ
1002155284861987061945	Corporate	Michael Altman Art Gallery (New York)	0	0	lived	00
100234175	Personal	Thomas, Louis-Vincent, 1922-1994	1922-05-20	1994-01-22	lived	fr
100253440	Personal	Susann, Jacqueline	1918-08-20	1974-09-21	lived	usa
10027079	Personal	Pennacini, Cecilia, 1961-....	1961	0	lived	IT
100288515	Personal	Evans, Julian, 1946-....	1946-11-05	0	lived	GB
100306137	Personal	Smith, Douglas W.	0	0	lived	00
1003152636176120052961	Personal	Wilhelm, Hans A.	0	0	lived	ZZ
100321218	Personal	Marchand, Jean-Baptiste	1950	0	flourished	FR
100337377	Personal	Theis, Jörg	1950	0	flourished	DE
