id	names
100009949	Oliveira, Gastão de
100009949	Oliveira,
100009949	Gastão de
1000152636166720052541	Borkamp, Frauke
100018640	Polyakov, S. V.
100018640	Polyakov, S.V
100018640	Polyakov,
100018640	S. V.
100028892	Torcato, Ana
100028892	pseud
100028892	Torcato,
100028892	Ana,
100028892	pseud.
100038848	Alvarez Miranda, Vicente
100038848	Alvarez Miranda,
100038848	Vicente
100048782	Pereira, Francisco Miranda
100048782	Pereira,
100048782	Francisco Miranda
100058670	Alegre, Maria Alexandra de Lacerda Nave
100058670	Alegre, Alexandra
100058670	Alegre, Alexandra
100058670	Alegre, Maria Alexandra de Lacerda Nave
100058670	Alegre,
100058670	Alexandra
100068261	Neves, Luís Teixeira
100068261	Neves, Luís Teixeira
100068261	Neves,
100068261	Luís Teixeira,
100068261	ca 18- -
100077982	Barão, Alexandre Humberto dos Santos
100077982	Barão, Alexandre Humberto dos Santos
100077982	Barão,
100077982	Alexandre Humberto dos Santos
100087898	Serra, Gabriel
100087898	Serra,
100087898	Gabriel
100097621	Veiga, Maria Leonor Amaral Correia da
100097621	Veiga,
100097621	Maria Leonor Amaral Correia da
10010733	Cerilli, Dante
10010733	Dante Cerilli
10010733	Cerilli
10010733	, Dante
10010733	ba0yba0y
10010733	fre   
10010733	 0 
10010733	Cerilli
10010733	Dante
10010733	1965-....
10010733	Cerilli, Dante
10010733	Cerilli, Dante
10010733	1965-
10010733	Cerilli, Dante
10010733	1965-...
10010733	Cerilli, Dante,
10010733	1965-....
10010733	Dante Cerilli
10010733	eo
10010733	en
10010733	co
10010733	io
10010733	af
10010733	vmf
10010733	vi
10010733	ca
10010733	an
10010733	eu
10010733	cy
10010733	gd
10010733	pt-br
10010733	ga
10010733	zu
10010733	cs
10010733	et
10010733	gl
10010733	ie
10010733	id
10010733	es
10010733	en-gb
10010733	lb
10010733	wa
10010733	nn
10010733	min
10010733	nb
10010733	pms
10010733	tr
10010733	nap
10010733	lij
10010733	li
10010733	lv
10010733	wo
10010733	lt
10010733	frp
10010733	nds-nl
10010733	rm
10010733	ro
10010733	ia
10010733	pcd
10010733	vec
10010733	kab
10010733	sco
10010733	nrm
10010733	ast
10010733	hr
10010733	bm
10010733	hu
10010733	da
10010733	fr
10010733	prg
10010733	oc
10010733	br
10010733	fi
10010733	vls
10010733	vo
10010733	kg
10010733	en-ca
10010733	scn
10010733	jam
10010733	mg
10010733	bar
10010733	pt
10010733	gsw
10010733	sc
10010733	fur
10010733	sw
10010733	sv
10010733	de-ch
10010733	frc
10010733	sk
10010733	pap
