ID|ISBN|Title|Date|Label
0|unknown|Das feldgraue spruchbuch|1941|Edition
1|unknown|Hölle am Panama-kanal, roman|1943|Edition
2|unknown|Fiori freschi|1944|Edition
3|unknown|Guerre et crises économiques face au chômage|1944|Edition
4|unknown|Il dissidio spirituale della Germania con l'Europa. (Ristampa)|1944|Edition
5|unknown|Schelmuffsky, wahrhaftige, kurïose und sehr gefährliche reisebeschreibung zu wasser und lande, herausgegeben von Will Vesper|1944|Edition
6|unknown|L'uomo senza volto, romanzo|1941|Edition
7|unknown|Moltke und das bauerntum|1943|Edition
8|unknown|Wie ermittelt der betrieb das betriebsnotwendige kapital und die verbrauchsbedingte abschreibung?|1943|Edition
9|unknown|Die melodie Indiens|1943|Edition
10|unknown|De gemeente in de wereld|1941|Edition
11|unknown|Tranzendentaler Gottesbeweis|1943|Edition
12|unknown|Over het gebed|1945|Edition
13|unknown|Het christelijk leven|1940|Edition
14|unknown|Der göttliche konkurs zum freien willensakt des menschen beim hl. Augustinus|1943|Edition
15|unknown|De weg van den mensch, christelijke gedachten uit de werken|1941|Edition
16|unknown|Il problema dell'Europa moderna|1942|Edition
17|unknown|Giusto de' Menabuoi e l'arte del trecento|1944|Edition
18|unknown|Teekeningen van Vlaamsche meesters|1944|Edition
19|unknown|Georg Ritter von Schönerer, ein Kämpfer für Alldeutschland, mit ausgewählten Zeugnissen aus Schönerers Kampfzeit für deutsche Einheit und deutsche Reinheit|1943|Edition
20|unknown|Disegni del Tiepolo|1942|Edition
21|unknown|Pythian odes›De vierde pythische ode van Pindaros, behelzende het oudste verhaal over den tocht der Argonauten|1940|Edition
22|unknown|Liebe bleibt unser gesetz|1943|Edition
23|unknown|Weisshaupt vater und sohn, erzählung|1943|Edition
24|unknown|Wegweiser für den Praktikanten im Maschinen- und Elektromaschinenbau; ein Hilfsbuch für die Werkstattausbildung zum Ingenieur|1943|Edition
25|unknown|Lumpi, die geschichte eines Hundeherzens|1940|Edition
26|unknown|Das unbezwingliche gemüt; zeugnisse von tat und innerlichkeit als grüsse von daheim empfangen, im erleben der front erwidert und hier für freunde und kameraden zu einem bündel vereint|1944|Edition
27|unknown|Der zauberer und das wunder roman|1944|Edition
28|unknown|Die sonate von Grieg; roman|1944|Edition
29|unknown|Ein stegreifsommer, roman|1944|Edition
30|unknown|Sur l'entropie et l'affinité chimique|1945|Edition
31|unknown|"Psaume CXXVI, ""proses de captivité."""|1943|Edition
32|unknown|Was wäre, wenn...? Amüsante zufälle, seltsame begebenheiten, historische fragezeichen|1942|Edition
33|unknown|Der blaue diamant, eine erzählung aus Deutsche-Südwest-Africa|1943›1941|Edition
34|unknown|Der Bärnbrunner krug|1943|Edition
35|unknown|Uit de papieren van mijn overgrootvader|1943|Edition
36|unknown|Das gastmahl der geschicke, eine auswahl aus seinem schaffen|1942|Edition
37|unknown|Hamlet›La tragédie de Hamlet|1942|Edition
38|unknown|Land und Meer, eine weltgeschichtliche Betrachtung|1942|Edition
39|unknown|Regina Holderbusch|1943|Edition
40|unknown|Il viandante cherubico|1942|Edition
41|unknown|Ein kuli fährt zur hölle, geschichten vom weltkrieg bis zur heutigen zeit|1943|Edition
42|unknown|Das auge der göttin; roman|1940|Edition
43|unknown|Vie de Fixlein, régent de cinquième|1943|Edition
44|unknown|Toller Einfall›Ein toller Einfall, Operette in 7 Bildern nach Carl Laufs|1940|Edition
45|unknown|Trank des lebens; gedichte|1943|Edition
46|unknown|L'ordre social|1945|Edition
47|unknown|Vater und Sohn, eine oberfränkische dorfgeschichte|1944|Edition
48|unknown|Leitfaden der politischen Ökonomie|1943|Edition
49|unknown|Een hollandsch gezantschap naar China in de zeventiende eeuw (1685-1687)|1946|Edition
