0«Gottfried Neesse«Person
1«Wilhelm Alexander von Tayenthal«Person
2«Mario Praz«Person
3«Jean Lescure«Person
4«Benedetto Croce«Person
5«Christian Reuter«Person
6«Clarice Tartufari«Person
7«Albrecht Timm«Person
8«Karl Schwantag«Person
9«gräfin von, Gertrud Smalian Podewils-Dürniz«Person
10«Frits Kuiper«Person
11«Köhler Rudolf, 1902-«Person
12«Maarten van Rhijn«Person
13«Kornelis Sietsma«Person
14«Gerard Vranken«Person
15«Jan van Ruusbroec«Person
16«Feliciano Lepore«Person
17«Sergio Bettini«Person
18«Adrien Jean J, Delen«Person
19«Heinrich Schnee«Person
20«Giorgio Vigni«Person
21«Pindar«Person
22«Hanswerner Nachrodt«Person
23«Josef Friedrich Papesch«Person
24«Franz zur Nedden«Person
25«Walther Kegel«Person
26«Alwin Rüffer«Person
27«Fritz Martin Rintelen«Person
28«Wera von Landesen«Person
29«Hans Watzlik«Person
30«Henry de Rycker«Person
31«Édouard Remise«Person
32«Peter Purzelbaum«Person
33«Sofie von Uhde«Person
34«Stefan Sturm«Person
35«Adalbert Stifter«Person
36«Heinz Steguweit«Person
37«William Shakespeare«Person
38«Carl Schmitt«Person
39«Wilhelm Schloz«Person
40«Angelus Silesius«Person
41«Anton Friedrich Tüdel Weller«Person
42«Hans Reiser«Person
43«Jean Paul«Person
44«Marc Roland«Person
45«Alard von Schack«Person
46«Jacques Rueff«Person
47«Heinrich Schaumberger«Person
48«Albert Hermann Hesse«Person
49«Jan Vixseboxse«Person
50«unknown«Person
51«Henricus Johannes J, M, van Straelen«Person
52«Ferdinand von Saar«Person
53«Felix Riemkasten«Person
54«Rainer Maria Rilke«Person
55«Friedrich Ernst Peters«Person
56«Jehanne d' Orliac«Person
57«Giancarlo Ottani«Person
58«André Nolde«Person
59«Hermann Moos«Person
60«R de Maeyer«Person
61«Jules Mazé«Person
62«Leo Moenke«Person
63«Arturo Labriola«Person
64«Ernst Rudolf Huber«Person
65«Jacques Leclercq«Person
66«Ernst Friedrich Löhndorff«Person
67«Ernst Kienitz«Person
68«Eugen Kuthe«Person
69«Albert Kammerer«Person
70«Jean Galtier-Boissière«Person
71«Alfred Fabre-Luce«Person
72«Marcel Brion«Person
73«Joseph Jacobus van den Besselaar«Person
74«Ernesto Buonaiuti«Person
75«Léon Blum«Person
76«Joseph M Bochenski«Person
77«Edgar Bérillon«Person
78«Émile G Léonard«Person
79«unknown«Person
80«F Lamote«Person
81«Jules Géraud Saliège«Person
82«Robert Morel«Person
83«Emil Spohn«Person
84«André Mazon«Person
85«Oskar Schnell«Person
86«Carl Gustaf Emil Mannerheim«Person
87«Tamara Gumitsch«Person
34«Stefan Sturm«Person
89«Jean Trogoff«Person
90«Raymundus Picard«Person
91«Victor Poucel«Person
92«Emmanuel Beau de Loménie«Person
93«Alfred Sauvy«Person
94«Edmond Faral«Person
95«Prosper Thuysbaert«Person
96«Curt Römer«Person
97«Jean Mouroux«Person
98«Ferdinand Holböck«Person
99«Amleto Maltarello«Person
