id	name	ISBN	year	type
10000000	Das feldgraue spruchbuch	unknown	1941	Edition
10000001	Hölle am Panama-kanal, roman	unknown	1943	Edition
10000002	Fiori freschi	unknown	1944	Edition
10000003	Guerre et crises économiques face au chômage	unknown	1944	Edition
10000004	Il dissidio spirituale della Germania con l'Europa. (Ristampa)	unknown	1944	Edition
10000005	Schelmuffsky, wahrhaftige, kurïose und sehr gefährliche reisebeschreibung zu wasser und lande, herausgegeben von Will Vesper	unknown	1944	Edition
10000006	L'uomo senza volto, romanzo	unknown	1941	Edition
10000007	Moltke und das bauerntum	unknown	1943	Edition
10000008	Wie ermittelt der betrieb das betriebsnotwendige kapital und die verbrauchsbedingte abschreibung?	unknown	1943	Edition
10000009	Die melodie Indiens	unknown	1943	Edition
10000010	De gemeente in de wereld	unknown	1941	Edition
10000011	Tranzendentaler Gottesbeweis	unknown	1943	Edition
10000012	Over het gebed	unknown	1945	Edition
10000013	Het christelijk leven	unknown	1940	Edition
10000014	Der göttliche konkurs zum freien willensakt des menschen beim hl. Augustinus	unknown	1943	Edition
10000015	De weg van den mensch, christelijke gedachten uit de werken	unknown	1941	Edition
10000016	Il problema dell'Europa moderna	unknown	1942	Edition
10000017	Giusto de' Menabuoi e l'arte del trecento	unknown	1944	Edition
10000018	Teekeningen van Vlaamsche meesters	unknown	1944	Edition
10000019	Georg Ritter von Schönerer, ein Kämpfer für Alldeutschland, mit ausgewählten Zeugnissen aus Schönerers Kampfzeit für deutsche Einheit und deutsche Reinheit	unknown	1943	Edition
10000020	Disegni del Tiepolo	unknown	1942	Edition
10000021	Pythian odes›De vierde pythische ode van Pindaros, behelzende het oudste verhaal over den tocht der Argonauten	unknown	1940	Edition
10000022	Liebe bleibt unser gesetz	unknown	1943	Edition
10000023	Weisshaupt vater und sohn, erzählung	unknown	1943	Edition
10000024	Wegweiser für den Praktikanten im Maschinen- und Elektromaschinenbau; ein Hilfsbuch für die Werkstattausbildung zum Ingenieur	unknown	1943	Edition
10000025	Lumpi, die geschichte eines Hundeherzens	unknown	1940	Edition
10000026	Das unbezwingliche gemüt; zeugnisse von tat und innerlichkeit als grüsse von daheim empfangen, im erleben der front erwidert und hier für freunde und kameraden zu einem bündel vereint	unknown	1944	Edition
10000027	Der zauberer und das wunder roman	unknown	1944	Edition
10000028	Die sonate von Grieg; roman	unknown	1944	Edition
10000029	Ein stegreifsommer, roman	unknown	1944	Edition
10000030	Sur l'entropie et l'affinité chimique	unknown	1945	Edition
10000031	"Psaume CXXVI, ""proses de captivité."""	unknown	1943	Edition
10000032	Was wäre, wenn...? Amüsante zufälle, seltsame begebenheiten, historische fragezeichen	unknown	1942	Edition
10000033	Der blaue diamant, eine erzählung aus Deutsche-Südwest-Africa	unknown	1943›1941	Edition
10000034	Der Bärnbrunner krug	unknown	1943	Edition
10000035	Uit de papieren van mijn overgrootvader	unknown	1943	Edition
10000036	Das gastmahl der geschicke, eine auswahl aus seinem schaffen	unknown	1942	Edition
10000037	Hamlet›La tragédie de Hamlet	unknown	1942	Edition
10000038	Land und Meer, eine weltgeschichtliche Betrachtung	unknown1942	Edition
10000039	Regina Holderbusch	unknown	1943	Edition
10000040	Il viandante cherubico	unknown	1942	Edition
10000041	Ein kuli fährt zur hölle, geschichten vom weltkrieg bis zur heutigen zeit	unknown	1943	Edition
10000042	Das auge der göttin; roman	unknown	1940	Edition
10000043	Vie de Fixlein, régent de cinquième	unknown	1943	Edition
10000044	Toller Einfall›Ein toller Einfall, Operette in 7 Bildern nach Carl Laufs	unknown	1940	Edition
10000045	Trank des lebens; gedichte	unknown	1943	Edition
10000046	L'ordre social	unknown	1945	Edition
10000047	Vater und Sohn, eine oberfränkische dorfgeschichte	unknown1944	Edition
10000048	Leitfaden der politischen Ökonomie	unknown	1943	Edition
10000049	Een hollandsch gezantschap naar China in de zeventiende eeuw (1685-1687)	unknown	1946	Edition
