id	name	ISBN	year	type
10000000	Das feldgraue spruchbuch	None	1941	Edition
10000001	Hölle am Panama-kanal, roman	None	1943	Edition
10000002	Fiori freschi	None	1944	Edition
10000003	Guerre et crises économiques face au chômage	None	1944	Edition
10000004	Il dissidio spirituale della Germania con l'Europa. (Ristampa)	None	1944	Edition
10000005	Schelmuffsky, wahrhaftige, kurïose und sehr gefährliche reisebeschreibung zu wasser und lande, herausgegeben von Will Vesper	None	1944	Edition
10000006	L'uomo senza volto, romanzo	None	1941	Edition
10000007	Moltke und das bauerntum	None	1943	Edition
10000008	Wie ermittelt der betrieb das betriebsnotwendige kapital und die verbrauchsbedingte abschreibung?	None	1943	Edition
10000009	Die melodie Indiens	None	1943	Edition
10000010	De gemeente in de wereld	None	1941	Edition
10000011	Tranzendentaler Gottesbeweis	None	1943	Edition
10000012	Over het gebed	None	1945	Edition
10000013	Het christelijk leven	None	1940	Edition
10000014	Der göttliche konkurs zum freien willensakt des menschen beim hl. Augustinus	None	1943	Edition
10000015	De weg van den mensch, christelijke gedachten uit de werken	None	1941	Edition
10000016	Il problema dell'Europa moderna	None	1942	Edition
10000017	Giusto de' Menabuoi e l'arte del trecento	None	1944	Edition
10000018	Teekeningen van Vlaamsche meesters	None	1944	Edition
10000019	Georg Ritter von Schönerer, ein Kämpfer für Alldeutschland, mit ausgewählten Zeugnissen aus Schönerers Kampfzeit für deutsche Einheit und deutsche Reinheit	None	1943	Edition
10000020	Disegni del Tiepolo	None	1942	Edition
10000021	Pythian odes›De vierde pythische ode van Pindaros, behelzende het oudste verhaal over den tocht der Argonauten	None	1940	Edition
10000022	Liebe bleibt unser gesetz	None	1943	Edition
10000023	Weisshaupt vater und sohn, erzählung	None	1943	Edition
10000024	Wegweiser für den Praktikanten im Maschinen- und Elektromaschinenbau; ein Hilfsbuch für die Werkstattausbildung zum Ingenieur	None	1943	Edition
10000025	Lumpi, die geschichte eines Hundeherzens	None	1940	Edition
10000026	Das unbezwingliche gemüt; zeugnisse von tat und innerlichkeit als grüsse von daheim empfangen, im erleben der front erwidert und hier für freunde und kameraden zu einem bündel vereint	None	1944	Edition
10000027	Der zauberer und das wunder roman	None	1944	Edition
10000028	Die sonate von Grieg; roman	None	1944	Edition
10000029	Ein stegreifsommer, roman	None	1944	Edition
10000030	Sur l'entropie et l'affinité chimique	None	1945	Edition
10000031	"Psaume CXXVI, ""proses de captivité."""	None	1943	Edition
10000032	Was wäre, wenn...? Amüsante zufälle, seltsame begebenheiten, historische fragezeichen	None	1942	Edition
10000033	Der blaue diamant, eine erzählung aus Deutsche-Südwest-Africa	None	1943›1941	Edition
10000034	Der Bärnbrunner krug	None	1943	Edition
10000035	Uit de papieren van mijn overgrootvader	None	1943	Edition
10000036	Das gastmahl der geschicke, eine auswahl aus seinem schaffen	None	1942	Edition
10000037	Hamlet›La tragédie de Hamlet	None	1942	Edition
10000038	Land und Meer, eine weltgeschichtliche Betrachtung	None	1942	Edition
10000039	Regina Holderbusch	None	1943	Edition
10000040	Il viandante cherubico	None	1942	Edition
10000041	Ein kuli fährt zur hölle, geschichten vom weltkrieg bis zur heutigen zeit	None	1943	Edition
10000042	Das auge der göttin; roman	None	1940	Edition
10000043	Vie de Fixlein, régent de cinquième	None	1943	Edition
10000044	Toller Einfall›Ein toller Einfall, Operette in 7 Bildern nach Carl Laufs	None	1940	Edition
10000045	Trank des lebens; gedichte	None	1943	Edition
10000046	L'ordre social	None	1945	Edition
10000047	Vater und Sohn, eine oberfränkische dorfgeschichte	None	1944	Edition
10000048	Leitfaden der politischen Ökonomie	None	1943	Edition
10000049	Een hollandsch gezantschap naar China in de zeventiende eeuw (1685-1687)	None	1946	Edition
10000050	La Victoire de Colmar, 20 janvier-9 février, 1945	None	1945	Edition
10000051	Modern Japan, het land der felle contrasten	None	1945	Edition
10000052	Herr Fridolin und sein glück; novelle	None	1944	Edition
10000053	Da kann man gar nichts gegen machen	None	1944	Edition
10000054	Gedichten	None	1945	Edition
10000055	Zwiegesang seliger geister	None	1944	Edition
10000056	Les dames de la halle, 1181-1939	None	1946	Edition
10000057	I campi della morte; romanzo	None	1945	Edition
